Tanggal,Produk,Kategori,Channel,Qty,Harga Satuan,Total
2026-05-01,Dummy Personal Care A,Personal Care,Tokopedia,5,75000,375000
2026-05-01,Dummy Household Care B,Household Care,Tokopedia,2,185000,370000
2026-05-02,Dummy Beauty Care C,Beauty Care,Shopee,3,145000,435000
2026-05-02,Dummy Personal Care D,Personal Care,Shopee,12,18000,216000
2026-05-03,Dummy Household Care B,Household Care,Reseller,8,95000,760000
2026-05-04,Dummy Personal Care A,Personal Care,Tokopedia,4,75000,300000
2026-05-05,Dummy Beauty Care C,Beauty Care,Reseller,6,65000,390000
2026-05-06,Dummy Household Care E,Household Care,Lazada,3,42000,126000
2026-05-07,Dummy Household Care B,Household Care,Tokopedia,1,185000,185000
2026-05-08,Dummy Personal Care A,Personal Care,Shopee,7,75000,525000
2026-05-09,Dummy Personal Care D,Personal Care,Tokopedia,15,18000,270000
2026-05-10,Dummy Household Care B,Household Care,Reseller,4,95000,380000
2026-05-11,Dummy Beauty Care C,Beauty Care,Tokopedia,2,145000,290000
2026-05-12,Dummy Beauty Care F,Beauty Care,Shopee,5,65000,325000
2026-05-13,Dummy Household Care E,Household Care,Reseller,2,42000,84000
2026-05-14,Dummy Personal Care A,Personal Care,Lazada,3,75000,225000
2026-05-15,Dummy Household Care B,Household Care,Reseller,5,185000,925000
2026-05-16,Dummy Personal Care D,Personal Care,Tokopedia,20,18000,360000
2026-05-17,Dummy Beauty Care C,Beauty Care,Shopee,1,145000,145000
2026-05-18,Dummy Household Care B,Household Care,Tokopedia,3,95000,285000
2026-05-19,Dummy Beauty Care F,Beauty Care,Reseller,4,65000,260000
2026-05-20,Dummy Household Care E,Household Care,Tokopedia,5,42000,210000
2026-05-21,Dummy Personal Care A,Personal Care,Reseller,6,75000,450000
2026-05-22,Dummy Household Care B,Household Care,Lazada,2,185000,370000
2026-05-23,Dummy Personal Care D,Personal Care,Shopee,10,18000,180000
2026-05-24,Dummy Beauty Care C,Beauty Care,Reseller,4,145000,580000
2026-05-25,Dummy Household Care B,Household Care,Tokopedia,2,95000,190000
2026-05-26,Dummy Beauty Care F,Beauty Care,Lazada,3,65000,195000
2026-05-27,Dummy Personal Care A,Personal Care,Tokopedia,5,75000,375000
2026-05-28,Dummy Household Care E,Household Care,Shopee,4,42000,168000
2026-05-29,Dummy Household Care B,Household Care,Reseller,3,185000,555000
2026-05-30,Dummy Personal Care D,Personal Care,Tokopedia,8,18000,144000
